Text,Normalized Result,label
阴道和外阴特指炎症,外阴炎 阴道炎,1.0
右腹股沟淋巴结转移性低分化鳞癌,腹股沟淋巴结继发恶性肿瘤 转移性鳞状细胞癌,1.0
全身多发转移癌I125粒子植入术后,多部位继发恶性肿瘤 转移性癌 恶性肿瘤放射性粒子置入治疗,1.0
脑梗死后出血,脑梗死 脑出血,1.0
喉癌放疗后,喉恶性肿瘤 癌 恶性肿瘤放疗,1.0
供血不足脑,脑血管供血不足,1.0
双肾输尿管梗阻性病变,梗阻性肾病 输尿管梗阻,1.0
双肾错构瘤可能,肾错构瘤,1.0
胎盘疾病胎盘残留,胎盘部分残留不伴出血 未特指的胎盘疾患,1.0
直肠乙状结肠管状腺瘤建议定期随诊复查,直肠良性肿瘤 乙状结肠良性肿瘤 管状腺瘤,1.0
中枢性性早熟单纯乳早发育,中枢性性早熟,1.0
左内踝玻璃割伤,踝部开放性损伤 玻璃割伤,1.0
细支气管肺泡癌,细支气管肺泡癌 肺恶性肿瘤,1.0
急性心功能不全,心功能不全,1.0
双卵巢中低分化浆液性乳头状囊腺癌,卵巢恶性肿瘤 乳头状浆液性囊腺癌,1.0
脑干脑炎后综合征,脑干脑炎,1.0
双神经性聋左耳混合聋,双侧感音神经性聋 单侧混合性聋,1.0
G1P1孕233周宫内妊娠顺娩臀位,臀位顺产,1.0
双侧乳糜血尿,乳糜尿 血尿,1.0
宫腔粘连,子宫内粘连,1.0
肝癌射频消融治疗后,肝恶性肿瘤 癌 射频消融术后,1.0
全身多处坠落伤,自高处坠落 多处损伤,1.0
继发不孕双侧输卵管部分切除后,继发不孕 输卵管术后,1.0
右侧壁层胸膜见少量癌浸润结合免疫表,胸膜恶性肿瘤 癌,1.0
软组织感染 动脉粥样硬化并高脂血症 冠状动脉粥样硬化性心脏病 周围神经病 慢性支气管炎 贫血,软组织感染 动脉粥样硬化 高脂血症 冠状动脉粥样硬化性心脏病 O 慢性支气管炎 贫血,1.0
静脉曲张下肢水肿,下肢静脉曲张 下肢水肿,1.0
口周出血点待查,出血斑点,1.0
胸膜继发癌,继发性癌 胸膜继发恶性肿瘤,1.0
中重度肺动脉高压,中度肺动脉高压 重度肺动脉高压,1.0
前列腺癌根治性切除术后前列腺癌生化复发局部放疗,前列腺术后 前列腺恶性肿瘤 前列腺恶性肿瘤 恶性肿瘤复发 恶性肿瘤放疗 癌,1.0
右侧声门区中分化鳞状细胞癌,声门恶性肿瘤 鳞状细胞癌,1.0
右肱骨结节骨折,肱骨骨折,1.0
特发性血小板减少性紫癜埃文斯综合征ITP,特发性血小板减少性紫癜,1.0
睾丸动态未定肿瘤,睾丸动态未定或动态未知的肿瘤,1.0
子宫绒癌化疗,子宫恶性肿瘤 绒毛膜癌 化学治疗,1.0
右室心尖部局限性膨隆心室憩室,先天性右心室憩室,1.0
胃浸润型印戒细胞癌,胃恶性肿瘤 印戒细胞癌,1.0
多发骨M原发不明,骨继发恶性肿瘤 转移性肿瘤,1.0
酒精性精神病,酒精所致的精神病性障碍,1.0
手足体股癣,手癣 足癣 体癣钱癣 股癣,1.0
下肢瘫痪,截瘫双下肢瘫痪,1.0
全身炎症反应性综合症,全身炎症反应综合征,1.0
右侧睾丸肿瘤术后刀口感染,手术后切口感染 睾丸肿瘤,1.0
COPD稳定期,慢性阻塞性肺疾病,1.0
头颈部刀砍伤,头部开放性损伤 颈部开放性损伤 刀砍伤加害,1.0
左眼永存原始玻璃体增生症,永存原始玻璃体增生症,1.0
严重脓毒血症并多脏器功能不全,脓毒症 多脏器功能障碍综合征MODS,1.0
病态窦房结综合症专科检查,病态窦房结综合征,1.0
新生儿脑损害,新生儿脑病,1.0
不完全右束支阻滞并左前分支阻滞,不完全性右束支传导阻滞 左前分支传导阻滞,1.0
左膝髌骨局灶性古梗死,骨坏死,1.0
口腔黏膜癌,口腔粘膜恶性肿瘤 癌,1.0
慢性移植物抗宿主反应病皮肤肝脏骨骼关节,慢性移植物抗宿主病,1.0
左手指动脉畸形,周围动脉畸形,1.0
右侧鼻腔新生物,鼻腔息肉,1.0
桥本氏甲状腺病3梅尼尔综合征,自身免疫性甲状腺炎桥本病 梅尼埃病,1.0
降结肠升结肠肝曲管状腺瘤,结肠肝曲良性肿瘤 管状腺瘤,1.0
食管鳞癌咳嗽肺部感染胃炎,食管恶性肿瘤 鳞状细胞癌 咳嗽 肺部感染 胃炎,1.0
慢性粒细胞白血病急性淋巴细胞白血病变,慢性粒细胞白血病 急性淋巴细胞白血病,1.0
左肾造瘘管口伤口漏尿,肾造口状态,1.0
右椎动脉管腔细小发育变异,椎动脉畸形,1.0
共同心房,单心房,1.0
符合海马硬化改变,海马硬化颞叶内侧硬化,1.0
下咽癌化疗后,下咽恶性肿瘤 癌,1.0
食管下段恶性肿瘤中医治疗,食管下三分之一的恶性肿瘤 恶性肿瘤中医治疗,1.0
淋巴潴留囊肿,水囊瘤,1.0
乳房肿块左乳肿块,乳房肿物,1.0
创伤性脊椎病,创伤后脊椎病,1.0
降结肠管状腺瘤乙状结肠绒毛状管状腺瘤,降结肠良性肿瘤 乙状结肠良性肿瘤 管状腺瘤 管状绒毛状腺瘤,1.0
双肺间质性改变不除外间质纤维化请结合病史,肺间质纤维化 间质性肺病,1.0
子宫颈中分化鳞癌IIa1期,子宫颈恶性肿瘤 鳞状细胞癌,1.0
牙周感染,牙周炎,1.0
食管胸中段癌,食管胸中段恶性肿瘤 癌,1.0
右乳癌术后肺转移切除术后,乳腺术后 乳腺恶性肿瘤 癌 肺继发恶性肿瘤 肺术后 转移性癌,1.0
重型闭合性颅脑损伤,闭合性颅脑损伤重型,1.0
胃窦隆起型病变憩室可能,胃憩室,1.0
慢性中耳炎胆脂瘤,中耳胆脂瘤 慢性中耳炎,1.0
双下肢无力原因一氧化碳中毒性周围神经病,肢体无力 一氧化碳中毒后遗症 多发性神经病多发性神经炎周围神经炎,1.0
脑卒中高血压高脂血症,脑卒中 高血压 高脂血症,1.0
骨关节病右膝关节置换术后,单侧膝关节骨性关节病 人工关节术后,1.0
原发不育月经不调多囊症,原发不孕 月经紊乱 多囊卵巢综合征SteinLeventhal综合征,1.0
右侧冈上肌腱退变部分撕裂,肩部损伤,1.0
妊娠滋养细胞肿瘤第八次化疗,滋养细胞病 化学治疗,1.0
轻度抑郁伴躯体化功能障碍,伴有躯体症状的轻度抑郁发作,1.0
慢性炎症性脱髓鞘性多神经根神经病,脱髓鞘病,1.0
代谢性骨病右股骨颅骨病变,代谢性骨病,1.0
全身多处转移性骨肿瘤,骨继发恶性肿瘤 转移性肿瘤,1.0
大便次数增多回盲部隆起,大便习惯改变,1.0
左上颌窦真菌送检为真菌团倾向为曲霉菌,上颌窦曲霉菌病,1.0
急性非ST段抬高型心肌梗塞PCI至RCA,冠状动脉支架植入术后状态 急性非ST段抬高型心肌梗死,1.0
老年性白内障术前,老年性白内障 眼术后,1.0
周围神经病变壶腹部十二指肠壁导管异位,多发性神经病多发性神经炎周围神经炎 十二指肠异位胰腺,1.0
泪溢左眼高眼压,高眼压症 泪溢,1.0
慢性免疫介导性周围神经病变,免疫相关性周围神经病,1.0
两侧基底节腔隙性梗塞,腔隙性脑梗死 基底节脑梗死,1.0
右眉弓玻璃划伤,玻璃割伤 前额开放性损伤,1.0
肾结石术后,肾结石 肾术后,1.0
输尿管结石体外碎石术后,输尿管结石 输尿管术后,1.0
骶尾部囊肿,骨盆部囊肿,1.0
距肛门15cm8cm管状腺瘤,管状腺瘤 直肠良性肿瘤,1.0
肝内外胆管结石并急性胆管炎,胆管结石 急性胆管炎,1.0
左侧颈动脉海绵窦瘘,海绵窦动静脉瘘,1.0
血小板减少性紫癜,特发性血小板减少性紫癜,1.0
胎儿13三体型综合征,13三体综合征Patau综合征,1.0
多发性周围神经损害,多发性神经病多发性神经炎周围神经炎,1.0
左侧肋骨骨挫伤,肋骨骨折,1.0
多发椎体骨质破坏并不全瘫,不完全性瘫痪 骨质破坏,1.0
腹股沟淋巴结肿块,腹股沟淋巴结肿大,1.0
妄想,妄想状态,1.0
退变性椎间盘病DDD,椎间盘变性,1.0
母体前置胎盘新生儿,胎儿和新生儿受前置胎盘的影响,1.0
送检左舌背纤维脂肪组织增生伴表面鳞状,舌鳞状上皮增生,1.0
急性髓系白血病 异基因造血干细胞移植术,急性髓系白血病 造血干细胞移植状态,1.0
颅内癌,颅内恶性肿瘤 癌,1.0
右肺腺癌伽玛刀治疗后化疗后,右肺恶性肿瘤 腺癌 化学治疗 恶性肿瘤放疗,1.0
双肺纹理增粗左下肺纤维索条病变,肺诊断性影像异常,1.0
工作时与小偷搏斗摔伤,工作中的意外损伤 摔伤,1.0
慢性轻度丙型病毒性肝炎,慢性丙型病毒性肝炎,1.0
停经23周发现胎儿胃泡旁点状强回声,孕23周,1.0
肝外中低分化胆管腺癌,胆管腺癌,1.0
左眼黄斑穿孔,黄斑裂孔,1.0
宫颈癌ⅡB放疗,子宫颈恶性肿瘤 放射治疗 癌,1.0
1多发性腔隙性梗塞,腔隙性脑梗死 多发性脑梗死,1.0
孕1产0宫内妊娠37周单活胎LOA,孕37周,1.0
移位甲状腺,甲状腺异位,1.0
脑神经脱髓鞘样改变,脱髓鞘性脑病,1.0
胸髓压迫症伴截瘫,脊髓压迫症 未特指的截瘫,1.0
壶腹部中分化腺癌,法特壶腹恶性肿瘤 腺癌,1.0
胃低中分化腺癌,胃恶性肿瘤 腺癌,1.0
双侧乳癌根治术,双侧乳腺恶性肿瘤 癌 化学治疗,1.0
PSVT,阵发性室上性心动过速,1.0
颅内动脉多发斑块伴轻度狭窄,动脉狭窄,1.0
右肺下叶腺癌IVA期,右肺下叶恶性肿瘤 腺癌,1.0
多发张力性水疱右上肢,上肢浅表水疱,1.0
原发性支气管肺癌左上肺鳞癌cT2aN3M0ⅢB期PS1分,左肺上叶恶性肿瘤 鳞状细胞癌,1.0
结肠癌晚期肛周疼痛待查,结肠术后 结肠恶性肿瘤 癌 疼痛,1.0
维生素D缺乏性骨软化,维生素D缺乏 骨软化症,1.0
主动脉弓缩窄心功能低下,心功能不全 主动脉缩窄,1.0
肋骨骨纤维异样增殖症,肋骨纤维异常增殖症,1.0
原发性扩张型心肌病全心扩大心房纤颤偶发室性早搏心功能Ⅲ级,扩张性心肌病充血性心肌病 心脏扩大 心房颤动心房纤颤 室性期前收缩 心功能III级NYHA分级,1.0
子宫增大见节育器影,具有子宫内避孕装置,1.0
淤血性脾肿大另送副脾组织,先天性副脾 脾大,1.0
宫颈CINI,子宫颈上皮瘤样病变CINI级,1.0
CHDHF,冠状动脉粥样硬化性心脏病 心力衰竭,1.0
右足第4跖骨右足跟骨及舟骨撕脱性骨折,跖骨骨折 跟骨骨折 足舟骨骨折,1.0
HCC介入治疗后 HCC,肝细胞癌 肝细胞癌 恶性肿瘤介入治疗,1.0
妊娠合并肝血管瘤,肝血管瘤 妊娠状态,1.0
胃窦中低分化管状腺癌,胃窦恶性肿瘤 管状腺癌,1.0
右侧腹股沟区疼痛,疼痛,1.0
经尿道输尿管软镜激光碎石术,输尿管结石,1.0
下肢动脉硬化症,肢体动脉硬化,1.0
背部pnet化疗,原始性神经外胚瘤 化学治疗,1.0
双肋缘明显外翻原因待查胃口差抵抗差,食欲不振 肋骨畸形,1.0
孤立性ACTH缺乏继发肾上腺皮质机能减退,孤立性ACTH缺乏症IAD,1.0
球菌性龈口炎,口炎 细菌感染,1.0
新生儿缺陷缺氧性脑病后遗症,新生儿缺氧缺血性脑病 缺血缺氧性脑病后遗症,1.0
右下肺间质病变原因陈旧性病变,间质性肺病 肺病,1.0
胸56脂肪瘤,脂肪瘤 脂肪瘤,1.0
右锁骨下动脉椎动脉起始处重度狭窄,锁骨下动脉狭窄,1.0
支气管扩张并感染右肺中叶 ,支气管扩张症 肺部感染,1.0
子宫颈鳞癌,子宫颈恶性肿瘤 鳞状细胞癌,1.0
支气管肺炎轮状病毒肠炎心肌损害,支气管肺炎小叶性肺炎 轮状病毒性肠炎 心肌损害,1.0
胃肠间质瘤术后贫血白细胞减少,胃肠道间质性瘤 贫血 白细胞减少,1.0
双下肢浮肿原因淋巴回流障碍,下肢水肿 淋巴回流障碍,1.0
听力异常,听功能障碍,1.0
右睾丸回缩,回缩睾丸,1.0
心衰红皮病嗜酸性粒细胞增多症,嗜酸粒细胞增多综合征 红皮病 心力衰竭,1.0
左侧海马区硬化并萎缩,海马硬化颞叶内侧硬化,1.0
颈部粥样硬化伴狭窄,颈动脉狭窄 颈动脉粥样硬化,1.0
左肘关节肱骨外侧髁陈旧撕脱性骨折,肱骨外髁骨折 陈旧性肱骨骨折,1.0
右乳外上象限纤维腺瘤,乳腺良性肿瘤 纤维腺瘤,1.0
继发不孕慢性输卵管管炎盆腔子宫内膜异,继发不孕 慢性输卵管炎 盆腔子宫内膜异位症,1.0
胸腰椎右侧股骨占位,下肢占位 脊柱占位,1.0
左膝关节创伤性OA伴强直,单侧膝关节骨性关节病 膝关节强硬,1.0
肺癌晚期血尿待查,肺恶性肿瘤 癌 血尿,1.0
子宫内膜低分化伴神经内分泌分化腺癌,子宫内膜恶性肿瘤 伴有神经内分泌分化腺癌,1.0
右上肺鳞状细胞癌介入治疗后,右肺上叶恶性肿瘤 鳞状细胞癌,1.0
肝硬化乙肝,乙型肝炎肝硬化,1.0
1空蝶鞍2脑缺血脱髓鞘,脱髓鞘性脑病 脑血管供血不足,1.0
右足瘢痕挛缩,瘢痕挛缩 足部瘢痕,1.0
会阴体陈旧性裂伤,陈旧性会阴裂伤,1.0
胸膜膈肌钙化斑,胸膜钙化 肌肉的其他钙化,1.0
心律不齐快速型房颤,心律失常 心房颤动心房纤颤,1.0
骨关节炎重度,重度骨关节病,1.0
高血压病并左房增大,高血压,1.0
左肺肺炎,肺炎,1.0
胰腺特指疾病胰体良性病变,胰腺其他特指的疾病,1.0
左侧髂窝囊性占位,骨盆部囊肿,1.0
右第七肋骨增大肋骨异常纤维增殖症,肋骨纤维异常增殖症,1.0
男性生殖器官特指疾病,男性生殖器官其他特指的疾患,1.0
结肠肝曲管状腺瘤局部上皮中度不典型,结肠肝曲良性肿瘤 管状腺瘤,1.0
甲状腺未分化癌,甲状腺恶性肿瘤 未分化的癌,1.0
左支气管支架置入术3,气管支架置入术后,1.0
肝脏粘液性囊性肿瘤,肝良性肿瘤 粘液性囊瘤,1.0
妊娠合并子宫浆膜下肌瘤,妊娠合并子宫肌瘤,1.0
左眼睑缺损闭合不全,眼睑闭合不全兔眼,1.0
脾区管状腺瘤低级别,管状腺瘤 脾良性肿瘤,1.0
右室双出口术后,右心室双出口,1.0
舌系带矫正术后,舌术后,1.0
双侧颈部及颅内动脉多发斑块及狭窄,动脉狭窄 颈动脉狭窄,1.0
双下肢软组织挫伤,下肢未特指的损伤水平未特指,1.0
右侧颞部疖肿粒细胞减少,头部疖 中性粒细胞减少症,1.0
肾组织轻度病变伴球性硬化75,肾小球硬化,1.0
左侧臀部皮脂腺囊肿,皮脂腺囊肿,1.0
臀部皮脂腺囊肿感染,皮脂腺囊肿 感染,1.0
宫颈癌术后放疗后复发,子宫颈恶性肿瘤 癌 恶性肿瘤术后放疗 恶性肿瘤复发,1.0
发作性意识不清原因待查心源性,意识障碍,1.0
重叠结缔组织综合征,重叠综合征,1.0
恶性肿瘤静脉输注化疗药物,化学治疗,1.0
1颈部淋巴结肿物待查2支气管炎 ,颈淋巴结肿大 支气管炎,1.0
右侧肾盂输尿管积水,输尿管积水 肾积水,1.0
Alzheimer病混合型,阿尔茨海默病混合型,1.0
双肺磨玻璃灶纤维硬结灶,肺诊断性影像异常,1.0
右肺癌靶向治疗,右肺恶性肿瘤 恶性肿瘤靶向治疗 癌,1.0
慢性肾衰竭CKD,慢性肾衰竭,1.0
股骨远端内生软骨瘤,软骨瘤病,1.0
右乳4点管状腺瘤,乳腺良性肿瘤 管状腺瘤,1.0
食管下段低分化鳞癌,食管下三分之一的恶性肿瘤 鳞状细胞癌,1.0
鼻和鼻窦特指疾病鼻甲区糜烂,鼻和鼻窦其他特指的疾患,1.0
停经293周B超提示胎儿鼻骨显示不清,妊娠状态,1.0
胃食管结合部中重度异型增生,食管粘膜不典型增生 胃粘膜不典型增生,1.0
右侧颌下瘢痕,瘢痕,1.0
纵膈左肺门淋巴结转移胸膜转移不除外,肺门淋巴结继发恶性肿瘤 纵隔淋巴结继发恶性肿瘤 O 转移性肿瘤,1.0
肝左内叶胆囊窝旁低密度影考虑小囊肿,肝囊肿,1.0
血吸虫肝,血吸虫病,1.0
手神经受伤,腕和手神经损伤,1.0
新生儿法洛四联征,法洛四联症,1.0
残角子宫查见胎盘及胎儿,残角子宫妊娠,1.0
背部皮下疖肿,皮肤疖肿,1.0
阑尾扩张肠管退变坏死,阑尾未特指的疾病 肠坏死,1.0
宫内感染败血症,败血症,1.0
阑尾粪石嵌顿阑尾穿孔,阑尾结石 粪便嵌塞,1.0
MODS肝肾心功能障碍,多脏器功能障碍综合征MODS 肾功能异常 肝功能异常 心功能不全,1.0
皮肤湿疹性癌变,湿疹样癌佩吉特病Paget病,1.0
齿状突骨不连伴不全瘫,骨折不连接假关节 不完全性瘫痪,1.0
食欲欠佳,食欲不振,1.0
淋巴结Castelman病,Castleman病,1.0
椎管内病变伴截瘫,截瘫双下肢瘫痪,1.0
右下肢多形性未分化肉瘤,肉瘤 下肢恶性肿瘤,1.0
右尺骨冠突鹰嘴撕脱性骨折,尺骨鹰嘴骨折 尺骨冠突骨折,1.0
直肠腺癌根治术后pT2N0M0,直肠术后 直肠恶性肿瘤 腺癌,1.0
双侧颈内动脉支架植入术后,周围血管支架植入术后状态,1.0
妊5产2妊326周臀头位,妊娠状态,1.0
左足跟腱撕脱性骨折,跟骨骨折,1.0
左手腕部扭转,腕关节扭伤,1.0
乙状结肠管状腺癌术后,乙状结肠恶性肿瘤 管状腺癌 结肠术后,1.0
急性脑梗死右侧颞顶枕叶梗死,脑梗死 多发性脑梗死,1.0
双侧基底节区腔隙灶老年性脑改变,腔隙性脑梗死,1.0
支气管哮喘并感染,支气管哮喘 感染,1.0
食管胃交界腺癌放化疗血小板降低白细胞降低化疗HER21PDL1强约10EGFR3MSS,食管胃连接部恶性肿瘤 腺癌 恶性肿瘤放疗 化学治疗 血小板减少 白细胞减少 化学治疗,1.0
胃角早期胃癌,胃恶性肿瘤 癌,1.0
创伤后头痛,头痛,1.0
颅内及颈部动脉多发斑块及狭窄,动脉狭窄 颈动脉狭窄,1.0
宫腔赘生物宫颈管赘生物,子宫息肉 子宫颈息肉,1.0
慢性肺部疾病合并肺心病,肺病 肺源性心脏病,1.0
咽部异物划伤,咽内异物 咽喉损伤,1.0
重型颅脑损伤术后2颅内感染,颅内损伤 脑术后 颅内感染,1.0
门静脉海绵状变性,门静脉海绵样变,1.0
左耳化脓性中耳炎,化脓性中耳炎,1.0
肺上叶支气管恶性肿瘤,支气管恶性肿瘤 肺上叶恶性肿瘤,1.0
直肠肿物性质待查,直肠肿物,1.0
右肾癌不除外,肾恶性肿瘤 癌,1.0
右侧乳腺癌术后化疗重度骨质疏松骨折消肿止痛右锁骨上淋巴结转移关节痛失眠,乳腺术后 乳腺恶性肿瘤 恶性肿瘤术后化疗 重度骨质疏松 骨折 锁骨上淋巴结继发恶性肿瘤 关节痛 失眠 癌,1.0
特指器官后天性缺失左手第2,后天性单侧手指缺失,1.0
结肠毛细血管扩张症,胃肠道毛细血管扩张症,1.0
妊娠合并亚临床甲状腺机能减退,妊娠状态 甲状腺功能减退,1.0
右腕狗抓伤,被狗抓伤 腕部开放性损伤,1.0
右眼视网膜破裂并失明,视网膜破裂 单眼盲,1.0
双眼视网膜脉络膜病变,分类于他处的疾病引起的脉络膜视网膜疾患,1.0
结肠中分化腺癌根治术后PT4N1M0盆腔转移,结肠术后 结肠恶性肿瘤 腺癌 盆腔继发恶性肿瘤 转移性粘液腺癌 淋巴结继发恶性肿瘤,1.0
右侧胫后肌腱钙化,肌腱钙化,1.0
宫颈激光术后,宫颈术后,1.0
白质脑病病因不清中毒可能大,脑白质病 中毒性脑病,1.0
腹部手术后乏力,乏力,1.0
宫颈中分化腺癌IB1期,子宫颈恶性肿瘤 腺癌,1.0
左肩胸部梭形细胞瘤,胸部肿瘤 肩部肿瘤,1.0
纵膈积气积血,纵隔气肿 纵隔血肿,1.0
上感急支,上呼吸道感染 急性支气管炎,1.0
多饮多尿待查,多尿 多饮,1.0
纯红细胞再生障碍,纯红细胞再生障碍性贫血,1.0
特指手术后状态双下肢大隐静脉曲张术后,大隐静脉曲张 静脉曲张术后,1.0
病毒性肝炎乙型慢性重型,病毒性肝炎乙型慢性重度,1.0
发作性右侧面部麻木伴右上肢活动不利待查,运动障碍,1.0
大腿神经纤维瘤,神经纤维瘤病VonRecklinghausen病,1.0
耳廓纤维溜病,纤维瘤病,1.0
颈肌抽搐查因,不自主运动,1.0
血脂高血脂高,高脂血症,1.0
2型糖尿病可能性大糖尿病酮症酸中毒,2型糖尿病 2型糖尿病性酮症酸中毒,1.0
阴道前壁脱出II度子宫脱出I度,子宫脱垂I度 阴道前壁脱垂,1.0
双侧髌骨骨质破坏痛风性,骨质破坏 痛风,1.0
右侧足背软组织劳损,足的其他和未特指部位的扭伤和劳损,1.0
右侧鼻咽分化型非角化型鼻咽癌,鼻咽恶性肿瘤,1.0
胸57椎体病变并不全瘫,颈椎病 不完全性瘫痪,1.0
降结肠低级别管状腺瘤,降结肠良性肿瘤 管状腺瘤,1.0
右上肺CA,右肺上叶恶性肿瘤 癌,1.0
多发颌面部骨折,面骨多发性骨折,1.0
缺钙背部疼痛,背痛,1.0
新生儿基底节阴影待查,头部诊断性检查异常,1.0
右下肢神经鞘瘤,下肢周围神经和自主神经良性肿瘤 神经鞘瘤,1.0
右肺腺癌IV期疼痛特发性肺间质纤维化2型糖尿病高血压病甲状腺结节胆囊结石伴胆囊炎便秘,右肺恶性肿瘤 疼痛 腺癌 特发性肺间质纤维化 2型糖尿病 高血压 O 胆囊结石伴胆囊炎 便秘,1.0
女性乳腺癌,乳腺恶性肿瘤 癌,1.0
子宫平滑肌瘤伴腺瘤样瘤性平滑肌瘤和腺肌症 增生期样子宫内膜 慢性宫颈炎,子宫平滑肌瘤 子宫平滑肌瘤 子宫肌腺症 子宫内膜增生 慢性子宫颈炎,1.0
左拇指掌指关节撕脱性骨折,拇指骨折 手部关节骨折,1.0
颅高压综合症,颅内压增高,1.0
低血糖病胰腺内分泌病,低血糖症,1.0
哮喘慢支肺气肿 肺部感染动脉硬化 ,支气管哮喘 慢性支气管炎 肺气肿 肺部感染 动脉硬化,1.0
双侧视神经发育不全,视神经发育不良,1.0
前次手术后子宫瘢痕,子宫术后 瘢痕子宫,1.0
房室阻滞,房室传导阻滞,1.0
直肠癌术后腰痛失眠高血压冠状动脉性心脏病,直肠术后 直肠恶性肿瘤 癌 腰痛 失眠 高血压 冠状动脉性心脏病,1.0
枕叶异常密度影,颅骨和头诊断性影像检查的异常所见不可归类在他处者,1.0
肝脏转移化疗白细胞低下尿路感染肝功能,肝继发恶性肿瘤 化学治疗 白细胞减少 泌尿系感染 转移性肿瘤,1.0
胸腹主动脉动脉瘤,胸腹主动脉瘤,1.0
急性T髓混合细胞性白血病,T淋巴细胞和髓系混合表型急性白血病,1.0
左舟骨月骨无菌性坏死,月骨缺血性坏死 骨缺血性坏死,1.0
癌化学治疗后的随诊检查,癌 恶性肿瘤放射治疗后的随诊检查,1.0
鞘膜瘤,神经鞘膜瘤,1.0
左眼视网膜脉络膜缺血性病变病,脉络膜缺血 视网膜动脉供血不足,1.0
左颈动脉硬化性狭窄,颈动脉硬化 颈动脉狭窄,1.0
左前臂犬咬伤,被狗咬伤 前臂开放性损伤,1.0
胰头部占位肝内多发可疑转移,胰腺占位性病变 肝继发恶性肿瘤 转移性肿瘤,1.0
卵巢癌肉瘤IIB期术后化疗后复发,卵巢恶性肿瘤 癌肉瘤 恶性肿瘤术后化疗 恶性肿瘤复发,1.0
十二指肠壶腹癌IV期,法特壶腹恶性肿瘤 癌,1.0
盆腔神经鞘瘤,盆腔良性肿瘤 神经鞘瘤,1.0
右眼Teson综合症,蛛网膜下腔出血并玻璃体出血症Terson综合征,1.0
右耳极重度感音神经性听力丧失,感音神经性聋,1.0
早孕高龄初产先兆流产,妊娠状态 高龄初孕妇的妊娠监督 先兆流产,1.0
糖尿病性心脏植物神经病变,糖尿病 心脏神经症,1.0
肾虚月经不调,月经紊乱,1.0
腰背部擦伤,躯干浅表擦伤,1.0
情绪障碍脑白质脱髓鞘,脱髓鞘性白质脑病 心境情感障碍,1.0
纵膈腹主动脉旁腹膜后腹腔淋巴结化疗后,化学治疗,1.0
肝酶肌酶增高待查,血清肌酶异常 转氨酶升高,1.0
肝动脉栓塞射频治疗后,射频消融术后,1.0
12牙根发育不全,牙根发育不良,1.0
T幼淋细胞白血病,T细胞型幼淋巴细胞白血病,1.0
白细胞淤滞不除外血液病,血液和造血器官未特指的疾病,1.0
皮肤包块,皮肤肿物,1.0
鼻咽癌放脑病,鼻咽恶性肿瘤 放射性脑病,1.0
胎儿完全性大动脉转位伴完整室间隔,完全型大动脉转位,1.0
肾积水伴肾和输尿管结石术后,肾积水 肾输尿管结石 肾术后 输尿管术后,1.0
胆囊腺癌,胆囊恶性肿瘤 腺癌,1.0
经前紧张综合征,经前期紧张综合征,1.0
多脏器功能不全累及心肌肝脏凝血,多脏器功能障碍综合征MODS,1.0
腹痛胃炎 腹腔感染,腹痛 胃炎 腹腔感染,1.0
急性坏疽穿孔性阑尾炎伴腹膜炎,急性坏疽性阑尾炎伴穿孔 急性坏疽性阑尾炎伴腹膜炎,1.0
子宫阔韧带肌瘤,子宫韧带良性肿瘤 肌瘤,1.0
隔离肺,先天性肺隔离症,1.0
糖尿病非胰岛素依赖型Ⅱ 恶性肿瘤并全身多器官转移,2型糖尿病 广泛转移性肿瘤,1.0
先天性右室双出口,右心室双出口,1.0
周围神经病关节变形有关,多发性神经病多发性神经炎周围神经炎,1.0
肾区疼痛,疼痛,1.0
胰腺尾部CA化疗后,胰尾恶性肿瘤 癌 化学治疗,1.0
冠状动脉心肌桥累及前降支,冠状动脉肌桥,1.0
L1椎体陈旧性压缩性骨折,陈旧性腰椎骨折 腰椎骨折L1,1.0
右肾囊肿内伴结石,肾结石 肾囊肿,1.0
右侧坐骨囊肿,骨盆部囊肿,1.0
面部麻木原因待明神经症可能,神经症性障碍,1.0
食物蛋白性小肠结肠炎,蛋白质过敏病 过敏性肠炎,1.0
左脚皮瓣撕裂伤全身多处皮肤擦伤,足部软组织撕脱伤 多处皮肤浅表擦伤,1.0
文身,纹身,1.0
跖疣冷冻术后,掌跖疣,1.0
左下肢髂总静脉嵌压,髂总静脉压迫综合征Cockett综合征,1.0
左下肺炎性假瘤合并肺脓肿,肺炎性假瘤 肺脓肿,1.0
直肠粘膜病变内镜下粘膜下剥离术ESD术,肛门和直肠未特指的疾病,1.0
右心房扩大,心房扩大,1.0
乳房纤维瘤,乳腺纤维瘤,1.0
指甲髌骨综合症,指甲髌骨综合征,1.0
双侧基底节区小腔隙灶脑白质脱髓鞘改变,脱髓鞘性白质脑病 腔隙性脑梗死,1.0
胸腹部及会阴部烫伤Ⅰ°浅Ⅱ°TBSA6,会阴烫伤,1.0
双肺转移性癌,肺继发恶性肿瘤 转移性癌,1.0
右肱骨大结节肩胛盂骨折,肱骨大结节骨折 肩关节盂骨折,1.0
横结肠绒毛状管状腺瘤伴高度粘,横结肠良性肿瘤 管状绒毛状腺瘤,1.0
乳腺癌左足背腱鞘囊肿,乳腺恶性肿瘤 腱鞘囊肿 足部囊肿 癌,1.0
乳房Paget病待排复诊,乳房佩吉特病,1.0
